Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
525D,Deep,PRUS,97,97_16,P_093,0,9/13/2024,Y,0,
525D,Deep,PRUS,78,78_2,P_069,0,9/13/2024,Y,75,Pronounced dead after photo
525D,Deep,PRUS,86,86_4,P_084,0,9/13/2024,N,MISSING,MISSING
525D,Deep,PRUS,96,96_2,P_016,0,9/13/2024,Y,0,broke off after photo
525D,Deep,PRUS,86,86_12,P_007,0,9/13/2024,Y,75,photo'd twice
526D,Deep,PCOM,1108,1108_9,G_027,0,9/13/2024,Y,25,
526D,Deep,PCOM,997,997_1,G_065,0,9/13/2024,Y,0,
526D,Deep,PCOM,997,997_6,G_074,0,9/13/2024,Y,0,
526D,Deep,PCOM,1113,1113_15,G_049,0,9/13/2024,Y,0,
526D,Deep,PCOM,1110,1110_20,G_016,0,9/13/2024,Y,0,
526D,Deep,PCOM,1109,1109_24,G_092,0,9/13/2024,Y,0,
526D,Deep,PCOM,1000,1000_8,G_069,0,9/13/2024,Y,25,
526D,Deep,PCOM,98,98_11,G_078,0,9/13/2024,Y,0,
526D,Deep,PRUS,86,86_25,P_090,0,9/13/2024,Y,25,
526D,Deep,PRUS,87,87_20,P_008,0,9/13/2024,Y,25,
526D,Deep,PRUS,1107,1107_2,P_021,0,9/13/2024,Y,0,
526D,Deep,PRUS,79,79_1,P_055,0,9/13/2024,Y,0,
526D,Deep,PRUS,1107,1107_1,P_044,0,9/13/2024,Y,0,
526D,Deep,PRUS,69,69_1,P_024,0,9/13/2024,Y,0,
526D,Deep,PRUS,77,77_7,P_031,0,9/13/2024,N,MISSING,MISSING
526D,Deep,PRUS,68,68_10,P_063,0,9/13/2024,Y,0,
526D,Deep,PRUS,78,78_19,P_053,0,9/13/2024,Y,0,
527D,Deep,PCOM,997,997_8,G_072,0,9/20/2024,Y,25,
527D,Deep,PCOM,1000,1000_1,G_059,0,9/20/2024,Y,0,
527D,Deep,PCOM,1149,1149_5,G_067,0,9/20/2024,Y,0,
527D,Deep,PCOM,1105,1105_23,G_041,0,9/20/2024,Y,0,"TAG BITTEN, ONLY SHOWS 04_"
527D,Deep,PCOM,1110,1110_13,G_070,0,9/20/2024,Y,0,
527D,Deep,PCOM,1108,1108_18,G_046,0,9/20/2024,Y,0,
527D,Deep,PCOM,98,98_14,G_054,0,9/20/2024,Y,25,
527D,Deep,PRUS,79,79_6,P_029,0,9/20/2024,Y,0,
